formula,BG,fidelity,fidelity_name,fidelity_id
K4Cd3(PO4)6,0.0,0,pbe,0
KRhSb,0.0,0,pbe,0
Lu4CdIr,0.0,0,pbe,0
Na3MgTi3P5SO24,2.1078,0,pbe,0
SrBaIr4,0.0,0,pbe,0
Na42Mg20Nb4Si15(S7O48)3,1.3007,0,pbe,0
Se2Rb2Pd,0.8336,0,pbe,0
Hg2SeO5,1.0118,0,pbe,0
Mg6CuCO8,0.0156,0,pbe,0
Co2Lu3Tl3,0.0,0,pbe,0
BeScRh2,0.0,0,pbe,0
Nd2InAu2,0.0,0,pbe,0
Rb2LiNb2(TeO6)2,0.0,0,pbe,0
Si2CuU,0.0,0,pbe,0
Ga2ZrTa2,0.0,0,pbe,0
Ca4Cd3Au5,0.0,0,pbe,0
Li3Pt2,0.0,0,pbe,0
Ta3SiNi2,0.0,0,pbe,0
ZnY3Pt2,0.0,0,pbe,0
Au8Se8Br8,0.5609919999999999,0,pbe,0
FeZr4,0.0,0,pbe,0
Pd2SbAc,0.0,0,pbe,0
TiP2H2O9,0.0,0,pbe,0
NFIn2Nd6,0.0,0,pbe,0
